Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
EMIL,Buy,105.5,102.91,95.81,123.02
HINDPETRO,Buy,388.9,377.7,348.48,400.75
INDOCO,Sell,248.8,258.0,273.85,198.98
KRITINUT,Buy,83.51,81.5,75.85,94.27
LLOYDSENGG,Buy,70.94,68.39,63.16,76.75
MTARTECH,Buy,7159.5,6666.5,5643.2,8036.62
POONAWALLA,Buy,391.9,376.0,357.6,401.23
RUBICON,Sell,1294.23,1303.723372559159,1406.53,1166.85
SOLEX,Buy,1070.2,1050.0,944.64,1227.49
TCPLPACK,Buy,2500.02,2469.06,2319.48,2586.23
WCIL,Buy,93.75,91.9,86.94,99.19
